Time (EST);Location;Event;Speaker;Slides / Notes;Recording;Additional Information;;;;;;;;;;;;;;;;;;;
Monday, May 6;;;;;;;;;;;;;;;;;;;;;;;;;
9:00;Pratt Hallway;Check-In and Breakfast;;;;;;;;;;;;;;;;;;;;;;;
9:45;Pratt;Welcome & Overview;J. Blazek & B. Joachimi;;;;;;;;;;;;;;;;;;;;;;
10:00;Pratt;Overview Talk 1: IA Estimators & Observations (30m);Niko Šarčević & Claire Lamman;;;;;;;;;;;;;;;;;;;;;;
10:30;Pratt;Overview Talk 2: IA Modeling (30m);Thomas Bakx;;;;;;;;;;;;;;;;;;;;;;
11:00;Pratt;Flash Talks 1;;slides;;;;;;;;;;;;;;;;;;;;;
12:00;Served in Pratt Hallway;------ LUNCH ------;;;;;;;;;;;;;;;;;;;;;;;
13:00;Pratt & Fishbowl;open work time;;;;;;;;;;;;;;;;;;;;;;;
14:00;Pratt & Fishbowl;open work time;;;;;;;;;;;;;;;;;;;;;;;
15:00;Pratt;Provocative Talk 1: The Future of modeling;Francisco Maion;;;;;;;;;;;;;;;;;;;;;;
15:15;Pratt;Discussion;;;;;;;;;;;;;;;;;;;;;;;
16:00;Pratt & Fishbowl;open work time;;;;;;;;;;;;;;;;;;;;;;;
Tuesday, May 7;;;;;;;;;;;;;;;;;;;;;;;;;
9:00;Pratt Hallway;Breakfast;;;;;;;;;;;;;;;;;;;;;;;
10:00;Pratt;Flash Talks 2;;slides;;;;;;;;;;;;;;;;;;;;;
11:00;Pratt;Provocative Talk 2: Cosmological Inference with IA;Elisa Chisari;;;;;;;;;;;;;;;;;;;;;;
11:15;;Discussion;;;;;;;;;;;;;;;;;;;;;;;
12:00;Pratt Hallway;------ LUNCH ------;;;;;;;;;;;;;;;;;;;;;;;
12:45;Pratt;Work Session 1: Homogenization of Modeling (Introduction);Jonathan Blazek;;;;;;;;;;;;;;;;;;;;;;
13:00;Pratt + Fishbowl;Work Session 1;;;;;;;;;;;;;;;;;;;;;;;
14:30;Pratt;Work Session 1 Summary  + Discussion;;;;;;;;;;;;;;;;;;;;;;;
15:00;Phillips;CfA-wide talk on IA;Christos Georgio & Alex Amon;;;meet in Pratt Hallway at 14:55 to walk to Phillips;;;;;;;;;;;;;;;;;;;
16:00;;CfA-wide cookies + socializing;;;;;;;;;;;;;;;;;;;;;;;
Wednesday, May 8;;;;;;;;;;;;;;;;;;;;;;;;;
9:00;Pratt Hallway;Breakfast;;;;;;;;;;;;;;;;;;;;;;;
10:00;Pratt;Flash Talks 3;;slides;;;;;;;;;;;;;;;;;;;;;
11:00;Pratt;Provocative Talk 3: Systematics;Eske Peterson & Makus Rau;;;;;;;;;;;;;;;;;;;;;;
11:15;;Discussion;;;;;;;;;;;;;;;;;;;;;;;
12:00;Pratt Hallway;------ LUNCH ------;;;;;;;;;;;;;;;;;;;;;;;
13:00;Pratt / Fishbowl;open work time;;;;;;;;;;;;;;;;;;;;;;;
14:00;Pratt;Work Session 2: Homogenization of Observations (Introduction);Simon Samuroff;;;;;;;;;;;;;;;;;;;;;;
14:15;Pratt + Fishbowl;Work Session 2;;;;;;;;;;;;;;;;;;;;;;;
16:15;Pratt;Work Session 2 Summary  + Discussion;;;;;;;;;;;;;;;;;;;;;;;
17:00;CfA Courtyard;Workshop BBQ!;;;;;;;;;;;;;;;;;;;;;;;
Thursday, May 9;;;;;;;;;;;;;;;;;;;;;;;;;
9:00;Pratt Hallway;Breakfast;;;;;;;;;;;;;;;;;;;;;;;
10:00;Pratt;Work Session 3: Simulations;Nick Van Alfen & Jingjing Shi;;;;;;;;;;;;;;;;;;;;;;
10:15;Pratt + Fishbowl;Work Session 3;;;;;;;;;;;;;;;;;;;;;;;
11:45;Pratt;Work Session 3 Summary  + Discussion;;;;;;;;;;;;;;;;;;;;;;;
12:00;Pratt Hallway;------ LUNCH ------;;;;;;;;;;;;;;;;;;;;;;;
13:00;Pratt / Fishbowl;open work time;;;;;;;;;;;;;;;;;;;;;;;
14:00;Pratt;Work Session 4: The future of observations / survey synergies;Benjamin Joachimi;;;;;;;;;;;;;;;;;;;;;;
14:15;Pratt + Fishbowl;Work Session 4;;;;;;;;;;;;;;;;;;;;;;;
16:15;Pratt;Work Session 4 Summary  + Discussion;;;;;;;;;;;;;;;;;;;;;;;
Friday, May 10;;;;;;;;;;;;;;;;;;;;;;;;;
9:00;Pratt Hallway;Breakfast;;;;;;;;;;;;;;;;;;;;;;;
10:00;Pratt ;------ work time ------;;;;Fishbowl reserved by another group from 10 - 11;;;;;;;;;;;;;;;;;;;
11:00;Pratt/ Fishbowl;------ work time ------;;;;;;;;;;;;;;;;;;;;;;;
12:00;Pratt Hallway;------ LUNCH ------;;;;;;;;;;;;;;;;;;;;;;;
13:00;Pratt/ Fishbowl;------ work time ------;;;;;;;;;;;;;;;;;;;;;;;
15:00;Fishbowl;------ work time ------;;;;PRATT RESEVED BY ANOTHER GROUP AT 15:30;;;;;;;;;;;;;;;;;;;
16:00;End of Workshop;;;;;;;;;;;;;;;;;;;;;;;;
